"GRID_ID","M000","M005","M010","M015","M020","M025","M030","M035","M040","M045","M050","M055","M060","M065","M070","M075","M080","M085","M090","M095","M100","F000","F005","F010","F015","F020","F025","F030","F035","F040","F045","F050","F055","F060","F065","F070","F075","F080","F085","F090","F095","F100"
"A-17",0,0,0,0.3309030535206,0.3309030535206,0.6618061070412,0.4412040713608,0.3309030535206,0,0.6066555981211,0.7721071248814,1.2133111962422,1.5442142497628,1.103010178402,0.7169566159613,0.9375586516417,0.7721071248814,0,0,0,0,0.2757525446005,0,0.2757525446005,0,0,0.2757525446005,0.3309030535206,0.3860535624407,0.3309030535206,0,1.103010178402,0.9927091605618,1.2684617051623,0.6618061070412,1.1581606873221,1.4339132319226,1.0478596694819,0.7721071248814,0.4963545802809,0,0
"A-18",0,0,0,0.2257215610254,0.2257215610254,0.4514431220508,0.3009620813672,0.2257215610254,0,0.4138228618799,0.5266836423926,0.8276457237598,1.0533672847852,0.752405203418,0.4890633822217,0.6395444229053,0.5266836423926,0,0,0,0,0.1881013008545,0,0.1881013008545,0,0,0.1881013008545,0.2257215610254,0.2633418211963,0.2257215610254,0,0.752405203418,0.6771646830762,0.8652659839307,0.4514431220508,0.7900254635889,0.9781267644434,0.7147849432471,0.5266836423926,0.3385823415381,0,0
"B-14",0,0,0,0.126733963212,0.6811950522645,0.4277271258405,0.1108922178105,0.1742591994165,0.158417454015,0.190100944818,0.3009931626285,0.2693096718255,0.3326766534315,0.221784435621,0.2376261810225,0.2376261810225,0.1742591994165,0,0.0792087270075,0,0,0,0,0.0792087270075,0.1108922178105,0.31683490803,0.1742591994165,0.095050472409,0.0792087270075,0.1425757086135,0.158417454015,0.1742591994165,0.2376261810225,0.285151417227,0.126733963212,0.158417454015,0.3643601442345,0.601986325257,0.697036797666,0.475252362045,0.0792087270075,0
"B-15",0,0,0,0.3556985458024,0.4154194801492,0.850745938414,0.5406213214552,0.4552334363804,0.2388837373872,0.6487961709518,1.2347384952228,1.6559179479844,1.9319885813244,1.2918323692912,0.913346859067,1.1040296073322,0.5977151955236,0,0,0,0,0.213469712687,0,0.213469712687,0,0,0.3727255376118,0.4154194801492,0.3983924883398,0.2561636552244,0.2388837373872,1.1922974787132,1.4851421778348,1.539356065597,0.950280828992,1.1951774650194,1.5081820682844,1.2292314486382,0.7171570642172,0.3842454828366,0,0
"B-16",0,0,0,0.798962881366,0.886996589758,1.80333774898,1.163099073368,0.945685728686,0.352134833568,1.459874520927,2.460919635622,3.447951292206,4.129535895716,2.819713975028,1.941388990785,2.405560249613,1.521893412774,0,0,0,0,0.543533361705,0,0.543533361705,0,0,0.778289917417,0.886996589758,0.907669553707,0.652240034046,0.352134833568,2.672991127708,3.013124602842,3.321901408835,1.9500605963,2.723008661121,3.413264870146,2.681662733223,1.697960829558,0.978360051069,0,0
"B-17",0,0,0,0.92339926323794,0.926396923720304,1.8537930676014,1.23452975151988,0.92839536404188,0.011990641929456,1.69273211257609,2.17491575749122,3.40345018804637,4.32285257064116,3.08332671831734,2.00785948150118,2.62112747661797,2.142940712346,0,0,0,0,0.765335968695,0,0.765335968695,0,0,0.773329729981304,0.926396923720304,1.07646645697694,0.918403162434,0.011990641929456,3.0783306175134,2.79118141309037,3.54852362049906,1.85878916840534,3.22939937093082,3.99973144042976,2.92926030441755,2.14893603331073,1.377604743651,0,0
"B-18",0,0,0,1.662764041002,1.662764041002,3.325528082004,2.217018721336,1.662764041002,0,3.048400741837,3.879782762338,6.096801483674,7.759565524676,5.54254680334,3.602655422171,4.711164782839,3.879782762338,0,0,0,0,1.385636700835,0,1.385636700835,0,0,1.385636700835,1.662764041002,1.939891381169,1.662764041002,0,5.54254680334,4.988292123006,6.373928823841,3.325528082004,5.819674143507,7.205310844342,5.265419463173,3.879782762338,2.494146061503,0,0
"B-19",0,0,0,0.85936467072,0.85936467072,1.71872934144,1.14581956096,0.85936467072,0,1.57550189632,2.00518423168,3.15100379264,4.01036846336,2.8645489024,1.86195678656,2.43486656704,2.00518423168,0,0,0,0,0.7161372256,0,0.7161372256,0,0,0.7161372256,0.85936467072,1.00259211584,0.85936467072,0,2.8645489024,2.57809401216,3.29423123776,1.71872934144,3.00777634752,3.72391357312,2.72132145728,2.00518423168,1.28904700608,0,0
"C-10",0.17405915050235,0.1447708358664,0.2938292375548,0.28797157462761,0.29916353478026,0.57008548632803,0.40293073015633,0.45721979360623,0.57751324636041,0.49184240546764,0.39979053594595,0.63985407575258,0.47751025110461,0.49612997128964,0.26778175733739,0.0904817724165,0.02928831463595,0,0,0,0,0.22196718532333,0.33054531222313,0.28797157462761,0.16182045894624,0.32259418648902,0.1447708358664,0.4747927823878,0.36673802118973,0.35397596393189,0.50941539424921,0.59780370385879,0.7048117336534,0.42960221628363,0.30930876352945,0.27625624877323,0.1085781268998,0.11977008705245,0.03514597756314,0,0,0
"C-11",0.125338918525,0,0.25067783705,0.225610053345,0.35094897187,0.426152322985,0.175474485935,0.175474485935,0.225610053345,0.40108453928,0.626694592625,0.80216907856,0.726965727445,0.65176237633,0.526423457805,0,0.125338918525,0,0,0,0,0.175474485935,0.175474485935,0.225610053345,0.15040670223,0.45122010669,0,0.25067783705,0.175474485935,0.275745620755,0.476287890395,0.777101294855,1.0027113482,0.676830160035,0.626694592625,0.175474485935,0,0.125338918525,0.15040670223,0,0,0
