자연녹지지역,주거지역,준주거지역,상업지역,공업지역,근린상업지역,GRID_ID
1647794.0015,14974.9635292,0.0,0.0,0.0,0.0,G-18
1662768.72,0.0,0.0,0.0,0.0,0.0,G-19
1662768.72,0.0,0.0,0.0,0.0,0.0,G-20
1366339.07932,0.0,0.0,0.0,296427.5786568,0.0,G-21
1527695.9489168,0.0,0.0,0.0,135062.681181,0.0,G-22
1662765.98067871,0.0,0.0,0.0,0.0,0.0,G-23
1661999.8618446,0.0,0.0,0.0,0.0,0.0,G-24
1660419.3111406,0.0,0.0,0.0,0.0,0.0,G-25
1657648.9521242,0.0,0.0,0.0,0.0,0.0,G-26
3321170.54428,0.0,0.0,0.0,0.0,0.0,G-7
3325537.44378,0.0,0.0,0.0,0.0,0.0,G-8
3195297.94529,130234.256152,0.0,0.0,0.0,0.0,G-9
3223228.71614,102341.3782771,0.0,0.0,0.0,0.0,H-10
2860829.55588,160871.3889105,0.0,0.0,304896.0503935,0.0,H-11
2437632.271766,646739.271042,107144.942775,93586.9483334,40426.3441027,0.0,H-12
1708514.3666709,1066034.614026,4014.51671831,546952.62844,0.0,0.0,H-13
2127704.21553041,1041307.4906455,78150.3582549,0.0,0.0,0.0,H-14
1448632.097311,388675.9965572,267719.497292,44989.248808353,0.0,0.0,H-15
1661876.178017,416257.361565,0.0,0.0,79135.5708405,0.0,H-16
160133.5707431,1159193.98986265,251455.27574,94028.4599351,10279.4453044,0.0,H-17
1342046.26662,319823.959492007,0.0,0.0,0.0,0.0,H-18
1662768.72,0.0,0.0,0.0,0.0,0.0,H-19
1662768.96,0.0,0.0,0.0,0.0,0.0,H-20
1549369.04477,113399.675228,0.0,0.0,0.0,0.0,H-21
1662699.8060599,0.0,0.0,0.0,0.0,0.0,H-22
1662766.7505639,0.0,0.0,0.0,0.0,0.0,H-23
1662762.789392,0.0,0.0,0.0,0.0,0.0,H-24
1660545.947807,0.0,0.0,0.0,0.0,0.0,H-25
1661501.3610467,0.0,0.0,0.0,0.0,0.0,H-26
3264108.75848,0.0,0.0,0.0,47360.0273521,0.0,H-6
3302598.4298,0.0,0.0,0.0,0.0,0.0,H-7
3325537.88932,0.0,0.0,0.0,0.0,0.0,H-8
3325537.39412,0.0,0.0,0.0,0.0,0.0,H-9
3075093.89856,247442.67784518,0.0,0.0,0.0,3004.80780125,I-10
3165794.38393,159743.0547808,0.0,0.0,0.0,0.0,I-11
1823839.39293586,621192.018946,47619.1528187,394944.333974,0.0,8390.95963671,I-12
2041651.1726656,278983.3921604,8535.13837081,0.0,0.0,0.0,I-13
2262049.9480139,175063.3271132,0.0,0.0,7837.75129264,0.0,I-14
1821592.34691702,470677.1580862,0.0,20326.2910132,0.0,0.0,I-15
1067801.7824624,631829.757974,28582.8531166,103804.401086,0.0,0.0,I-16
1389422.8552374,273324.2962137,0.0,0.0,0.0,0.0,I-17
1662768.96,0.0,0.0,0.0,0.0,0.0,I-18
1662768.72,0.0,0.0,0.0,0.0,0.0,I-19
3301824.43122,21381.6488411,0.0,0.0,0.0,0.0,I-2
1661634.58011,0.0,0.0,0.0,0.0,0.0,I-20
1663748.8887373,0.0,0.0,0.0,0.0,0.0,I-21
1663775.696962,0.0,0.0,0.0,0.0,0.0,I-22
1662732.362976,0.0,0.0,0.0,0.0,0.0,I-23
1660018.6873855,0.0,0.0,0.0,0.0,0.0,I-24
1661803.4939889,0.0,0.0,0.0,0.0,0.0,I-25
3295204.14384,27658.2311213,0.0,0.0,0.0,0.0,I-3
3219035.10193,67591.0532585,22.5237599224,0.0,9246.29745364,28492.8422188,I-4
2826855.74994,8116.98726738,0.0,0.0,489153.091133,0.0,I-5
3304390.01059,0.0,0.0,0.0,21146.9698065,0.0,I-6
3325537.44,0.0,0.0,0.0,0.0,0.0,I-7
3325537.47068,0.0,0.0,0.0,0.0,0.0,I-8
2963232.23452,126076.7812092,0.0,0.0,236185.2599612,0.0,I-9
3308904.54311,16632.96733044,0.0,0.0,0.0,0.0,J-10
3315472.16471,0.0,0.0,0.0,0.0,0.0,J-11
1587820.078861,734248.847435,1557.07988501,7254.67368713,0.0,0.0,J-12
376541.949908,1244900.6018735,87306.0292684,34613.6523881,0.0,0.0,J-13
1061979.9645462,681507.63896177,0.0,0.0,0.0,0.0,J-14
1717308.503048,630155.652598,0.0,0.0,0.0,0.0,J-15
1425785.560533,634224.9028298,0.0,0.0,0.0,0.0,J-16
1046099.94888613,619932.4662935,0.0,0.0,0.0,0.0,J-17
1662387.10877,0.0,0.0,0.0,0.0,0.0,J-18
1660477.79784,0.0,0.0,0.0,0.0,0.0,J-19
2519171.49859417,0.0,0.0,0.0,31.8910086584,0.0,J-2
1662278.29778,0.0,0.0,0.0,0.0,0.0,J-20
1603467.78738,55919.0693134,0.0,0.0,0.0,0.0,J-21
1654933.8841531,3691.48411142,0.0,0.0,0.0,0.0,J-22
1660545.09984288,0.0,0.0,0.0,0.0,0.0,J-23
1662106.0449951,0.0,0.0,0.0,0.0,0.0,J-24
2917526.17015,0.0,0.0,0.0,401300.9013399,0.0,J-3
2926348.49711,1622.52729776,0.0,0.0,396141.8616057,0.0,J-4
2900230.34142,336835.264668,24387.6326416,0.0,29074.6237851,34972.9471006,J-5
3325537.44,0.0,0.0,0.0,0.0,0.0,J-6
3325537.44,0.0,0.0,0.0,0.0,0.0,J-7
3325537.92,0.0,0.0,0.0,0.0,0.0,J-8
3135220.51859,0.0,0.0,0.0,190316.6164705,0.0,J-9
2735762.3282419,0.0,0.0,0.0,0.0,0.0,K-1
2617672.259034,417199.25151495,0.0,3326.69959194,227844.137925,50266.2479189,K-10
1644520.406381,331542.3429994,200177.783561,105116.0430761,65124.9744305,0.0,K-11
264621.787644,350985.762598411,102054.031256,945107.152922,0.0,0.0,K-12
52993.1089693,878293.0686146,559656.33762,171806.691106,0.0,0.0,K-13
0.0,1662520.65332,0.0,0.0,0.0,0.0,K-14
210943.512048,1381222.148945,0.0,59452.0138931,0.0,10248.6507729,K-15
605916.7182779,988710.7022014,47173.2594745,2680.74123601,0.0,17005.5123715,K-16
836357.8096967,819056.1834145,5388.92250991,0.0,0.0,0.0,K-17
1547241.8969016,79556.8342735,35970.2206177,0.0,0.0,0.0,K-18
1661590.65157,0.0,0.0,0.0,0.0,0.0,K-19
3325430.68622,0.0,0.0,0.0,0.0,0.0,K-2
1615520.14737,46537.1420115,0.0,0.0,0.0,0.0,K-20
1659809.84066,2270.08945876,0.0,0.0,0.0,0.0,K-21
1662495.941279,0.0,0.0,0.0,0.0,0.0,K-22
3192910.9975,0.0,0.0,0.0,132523.794682,0.0,K-3
3325537.44,0.0,0.0,0.0,0.0,0.0,K-4
3170211.46551,155326.445294,0.0,0.0,0.0,0.0,K-5
2721953.75585,592822.370628,0.0,3256.16021066,7685.22461755,0.0,K-6
2987055.31813,334317.200036929,4164.82018691,0.0,0.0,0.0,K-7
3304851.61009,0.0,0.0,0.0,20686.0945421,0.0,K-8
3321046.01094,0.0,0.0,0.0,0.0,4491.92915729,K-9
1703288.7815418,0.0,0.0,0.0,0.0,0.0,L-1
3325537.47708,0.0,0.0,0.0,0.0,0.0,L-10
2873862.32422,0.0,0.0,283023.352247,73797.6857749,0.0,L-11
1239913.804226,437683.257686,0.0,251632.204714,40216.641827374,0.0,L-12
130821.492993,1140605.487719,16102.5069086,375242.568093,0.0,0.0,L-13
165811.875395,1284190.423915,91736.9449439,99777.1251975,0.0,0.0,L-14
250061.727022,1333537.370265,52353.6777425,0.0,0.0,0.0,L-15
95060.0314842,1293596.207572,0.0,273842.257232,0.0,0.0,L-16
1138151.976168,524491.9560512,0.0,0.0,0.0,0.0,L-17
1654352.258751,8416.62422133,0.0,0.0,0.0,0.0,L-18
1662768.728746,0.0,0.0,0.0,0.0,0.0,L-19
2980538.2725841,0.0,0.0,0.0,0.0,0.0,L-2
1661058.93605,0.0,0.0,0.0,0.0,0.0,L-20
1656629.84776,0.0,0.0,0.0,0.0,0.0,L-21
1660345.68503,0.0,0.0,0.0,0.0,0.0,L-22
1662366.6878113,0.0,0.0,0.0,0.0,0.0,L-23
3325537.44,0.0,0.0,0.0,0.0,0.0,L-3
3274226.28902,0.0,0.0,0.0,0.0,0.0,L-4
3118421.5172,0.0,0.0,0.0,206202.013852,0.0,L-5
2261464.305165,202729.846055,0.0,0.0,796579.654673,0.0,L-6
1851961.458441,377266.51079181,56056.9233807,353360.7214,686943.929507,0.0,L-7
2938180.57008,387317.7839806,0.0,0.0,0.0,0.0,L-8
3184734.69498,139508.2388835,0.0,0.0,0.0,1294.55907875,L-9
3313346.5024588,0.0,0.0,0.0,9925.91649515,0.0,M-10
1784846.366776,84861.017679704,0.0,13265.6937454,1403044.2694421,0.0,M-11
1879896.7704447,862744.584908,0.0,94896.8166222,185229.807368,0.0,M-12
1264779.707452,855997.4988576,0.0,0.0,0.0,0.0,M-13
